#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A42005
#Date Time: 2018-03-08 09:48:49.819
#Sample rate: 487805Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 100 mV Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 50 mV/div Offset: 0 V

Time (s),Channel 1 (V)
-0.012972855555555555,-0.0088271193349364705
-0.012970805555555555,-0.010170272840603711
-0.012968755555555555,-0.0088271193349361652
-0.012966705555555555,-0.0094986960877693274
-0.012964655555555555,-0.0078197542056846654
-0.012962605555555555,-0.0081555425821023923
-0.012960555555555555,-0.0098344844641869
-0.012958505555555555,-0.0091629077113525165
-0.012956455555555555,-0.008155542582103003
-0.012954405555555555,-0.011177637969855362
-0.012952355555555555,-0.010506061217021436
-0.012950305555555555,-0.0098344844641872053
-0.012948255555555555,-0.0081555425821016291
-0.012946205555555555,-0.0084913309585187436
-0.012944155555555555,-0.0094986960877700907
-0.012942105555555555,-0.0078197542056845128
-0.012940055555555555,-0.0094986960877700907
-0.012938005555555555,-0.0091629077113529744
-0.012935955555555555,-0.0081555425821016291
-0.012933905555555555,-0.0094986960877700907
-0.012931855555555555,-0.010506061217021436
-0.012929805555555555,-0.0084913309585187436
-0.012927755555555556,-0.0084913309585187436
-0.012925705555555556,-0.0098344844641872053
-0.012923655555555556,-0.010170272840604322
-0.012921605555555556,-0.0094986960877700907
-0.012919555555555556,-0.010170272840604322
-0.012917505555555556,-0.010841849593438551
-0.012915455555555556,-0.0084913309585187436
-0.012913405555555556,-0.010506061217021436
-0.012911355555555556,-0.010841849593438551
-0.012909305555555556,-0.0091629077113529744
-0.012907255555555556,-0.0088271193349358599
-0.012905205555555556,-0.010506061217021436
-0.012903155555555556,-0.0091629077113529744
-0.012901105555555556,-0.0094986960877700907
-0.012899055555555556,-0.0088271193349358599
-0.012897005555555556,-0.0084913309585187436
-0.012894955555555556,-0.0098344844641872053
-0.012892905555555556,-0.0088271193349363179
-0.012890855555555556,-0.0084913309585188963
-0.012888805555555556,-0.010170272840603558
-0.012886755555555556,-0.011849214722689135
-0.012884705555555556,-0.010506061217022047
-0.012882655555555556,-0.0094986960877705487
-0.012880605555555556,-0.010170272840604016
-0.012878555555555556,-0.0098344844641873579
-0.012876505555555556,-0.010506061217021131
-0.012874455555555556,-0.010841849593438398
-0.012872405555555556,-0.010841849593438551
-0.012870355555555556,-0.01184921472268944
-0.012868305555555556,-0.010170272840605085
-0.012866255555555556,-0.011513426346272171
-0.012864205555555557,-0.010170272840604932
-0.012862155555555557,-0.010506061217021283
-0.012860105555555557,-0.011849214722689287
-0.012858055555555557,-0.011177637969855972
-0.012856005555555557,-0.0098344844641878159
-0.012853955555555557,-0.010170272840604169
-0.012851905555555557,-0.010506061217021283
-0.012849855555555557,-0.010506061217021436
-0.012847805555555557,-0.010170272840604474
-0.012845755555555557,-0.0098344844641873579
-0.012843705555555557,-0.010506061217021131
-0.012841655555555557,-0.010506061217021436
-0.012839605555555557,-0.0094986960877705487
-0.012837555555555555,-0.0091629077113529744
-0.012835505555555555,-0.0098344844641872053
-0.012833455555555555,-0.0098344844641872053
-0.012831405555555555,-0.011513426346272781
-0.012829355555555555,-0.010170272840604322
-0.012827305555555555,-0.011177637969855667
-0.012825255555555555,-0.012185003099107012
-0.012823205555555555,-0.0094986960877700907
-0.012821155555555555,-0.010506061217021436
-0.012819105555555555,-0.0078197542056845128
-0.012817055555555555,-0.0098344844641872053
-0.012815005555555556,-0.010170272840604322
-0.012812955555555556,-0.0098344844641872053
-0.012810905555555556,-0.0094986960877700907
